format,title,topic,description,authors,published_date,publisher,URL
article,Parcerias profissionais em uma escola pública dos anos finais do ensino fundamental: ações necessárias para a realidade atual,,"A Educação na atualidade tem sido alvo de grandes desafios e a violência tem sido um deles. Independentemente do tipo, ela compromete o aprendizado, as relações entre professores, estudantes e a comunidade escolar como um todo. Com este cenário, as escolas estão buscando ações que possam prevenir, amenizar e superar tais momentos e, para isso, estabelecer parcerias tornou-se essencial. Assim, objetivou-se compartilhar no relato de experiência a seguir, as medidas realizadas em uma escola pública de ensino fundamental - anos finais, que realizou com o auxílio de psicólogos parceiros, ações de enfrentamento à violência e comunicação não violenta. Por meio de atividades em grupo com dinâmicas e debates, os profissionais realizaram intervenções necessárias envolvendo estudantes e promovendo a conversa e a reflexão. Os resultados mostraram que estudantes estão fragilizados devido a inúmeros fatores e isso pode ocasionar atitudes agressivas e de muito sofrimento em toda comunidade escolar. Conclui-se que existe uma necessidade evidente em modificar a realidade como dever e compromisso de cada escola e uma gestão participativa pode contribuir diretamente para transformar e proporcionar ambientes mais seguros para o aprendizado e a convivência.","['Pereira, Felipe Reis', 'Wellichan, Danielle da Silva Pinheiro', 'Gejão, Fernanda de Carvalho', 'Garcia, Nathália Medina']",2024-01-03,Editora UFMS,https://periodicos.ufms.br/index.php/persdia/article/view/19189
doctoralThesis,"Desenvolvimento do programa de educação socioemocional FO-CO família: formar para conviver, para familiares de adolescentes","Adolescentes, jovens, família, educação emocional","Introdução: Os benefícios da educação socioemocional, como a melhora nos relacionamentos interpessoais e profissionais, são conhecidos, e, apesar disso, no Brasil há uma lacuna na literatura sobre programas de educação socioemocional — desenvolvido para pais e familiares — baseados em evidências. O programa FO-CO Família — Formar para conviver — foi desenvolvido para ensinar habilidades socioemocionais para pais e familiares de adolescentes. Objetivo: desenvolver o programa de educação socioemocional FO-CO Família, com base na metodologia Intervention Research Framework (2016). Métodos: a metodologia foi dividida em duas fases: notificação, que levantou subsídios para o formato do programa e planejamento das experiências de aprendizagem e desenvolvimento do programa em si com a participação de especialistas, em co-design com pais e familiares. Na primeira fase, realizou-se um levantamento de literatura científica, entrevistas e grupos focais com pais e especialistas. Na segunda fase, utilizou-se a pesquisa-ação, com a realização de 5 ciclos compostos por: 1) planejamento de atividades, 2) Implementação do programa, 3) coleta de dados (grupo focal, diário de campo e feedback dos participantes), 4) análise de dados (análise de conteúdo e triangulação por pares). O programa foi baseado em práticas contemplativas, Teoria das emoções, Pedagogia da Cooperação e Comunicação Não Violenta (CNV), e em elementos da Terapia Familiar Sistêmica. Resultados: as fases de notificação e desenvolvimento deram origem ao programa FO-CO Família, composto por 5 encontros semanais online, com duração de 90 minutos, cujos temas foram: Conexão, Escuta, Fato e julgamento, emoções e necessidades, e “tecendo” saberes. Nos 5 ciclos de pesquisa-ação, houve adesão aos encontros de 45,2%, com inscrições das 5 regiões do Brasil (n=180 confirmados) e 66 participantes concluintes. Houve aceitação, engajamento e interesse em relação aos participantes. Por meio da análise de conteúdo, revelaram-se relatos de aprendizados de habilidades socioemocionais como a pausa para perceber como se sentem antes de agir, possibilitando ações mais hábeis, a importância da escuta compassiva de si e dos outros, auxiliando o controle emocional. Além disso, os participantes se sentiram à vontade para se expressarem no ambiente virtual e ficaram surpresos com a possibilidade de conexão humana, intimidade e identificação. Conclusão: a versão do programa FO-CO Família, com cinco encontros semanais online, e duração de 90 minutos teve boa aceitação e interesse pelo público, e demonstrou ter o potencial de ensinar habilidades socioemocionais visando a uma convivência mais respeitosa, consciente e compassiva no contexto familiar. Tais resultados demonstram o potencial de aquisição do aprendizado socioemocional no formato online, com baixo custo para a disseminação nacional.","['Grasso, Juliana Aparecida Pereira [UNIFESP]']",2023-05-18,Universidade Federal de São Paulo,https://repositorio.unifesp.br/11600/68958
bachelorThesis,Comunicação não violenta como ferramenta para uma educação mais humanizada e humanizadora,"Educação, -, -",-,"['Jannuzzi, Letícia Ferrarezi']",2023-11-22,Universidade Federal de Juiz de Fora (UFJF),https://repositorio.ufjf.br/jspui/handle/ufjf/16515
masterThesis,Gestão consensual de conflitos e comunicação não violenta : uma pesquisa de métodos mistos no centro judiciário de soluções de conflitos e cidadania de Fortaleza/CE,"Litígios, Mediação e conciliação, Conflito(Direito)","O comportamento litigioso dos participantes das audiências autocompositivas judiciais e o despreparo socioemocional dos terceiros facilitadores em lidar com esse tipo de comportamento são fortes entraves enfrentados durante a prática dos métodos adequados de resolução de conflitos. Diante desse contexto, pesquisou-se sobre a Comunicação Não Violenta (CNV), modelo comunicacional que permite minimizar resistências, posturas defensivas e reações violentas, a fim de verificar se e em que medida o uso e o conhecimento dessa abordagem pelos mediadores pode interferir positivamente na qualidade e no resultado das audiências judiciais de mediação. Com esse fim, fez-se necessário, ao longo de três capítulos: 1) identificar qual a pertinência da CNV frente às principais dificuldades enfrentadas pelo Tribunal Multiportas brasileiro; 2) estudar sobre o que consiste a CNV e se ela é, de fato, compatível com a dinâmica da mediação de conflitos; 3) avaliar empiricamente os possíveis efeitos da CNV nas audiências judiciais de mediação. Para cumprir com esses objetivos, realizou-se, inicialmente, pesquisa bibliográfica e documental com base em livros acadêmicos, artigos de periódicos científicos, dissertações, teses e legislações que versavam sobre temas como Tribunal Multiportas, métodos adequados de resolução de conflitos, relevância dos terceiros facilitadores, CNV e ferramentas autocompositivas. Realizou-se, em seguida, pesquisa de campo por meio da aplicação de questionários, intervenção quase-experimental e observações participantes e comparativas de audiências judiciais de mediação do Centro Judiciário de Soluções de Conflitos e Cidadania (CEJUSC) de Fortaleza. Por fim, procedeu-se com pesquisa documental, servindo-se de índices de acordos e pesquisas de satisfação cedidos pela instituição pesquisada. Concluiu-se que o conhecimento e o uso dos elementos da CNV pelos mediadores pode interferir positivamente na atuação desses profissionais e no comportamento dos participantes das audiências judiciais de mediação, uma vez que essa abordagem oportuniza um maior aprofundamento na dimensão socioemocional dos conflitos geridos e uma maior conexão entre os conflitantes. Palavras-chave: Comportamento litigioso; Despreparo socioemocional; Terceiros facilitadores; Mediação de conflitos; Comunicação Não Violenta.","['Andrade, Caio Viana']",2023,,https://biblioteca.sophia.com.br/terminalri/9575/acervo/detalhe/129603
bachelorThesis,Comunicação não-violenta e sua relação com a Base Nacional Comum Curricular,"Base Nacional Comum Curricular (BNCC), Ciências sociais : Ensino, Ambiente escolar, Comunicação não violenta (CNV), School environment, Common national curricular base, Non-violent communication","Este trabalho está suportado nas minhas experiências pessoais com a Comunicação Não-Violenta (CNV), no aprendizado que os cursos de capacitação realizados, nesta área, me permitiram desenvolver e nas experimentações que os Estágios de Docência I e II, realizados durante o Curso de Licenciatura em Ciências Sociais EaD, me revelaram, com objetivo de identificar pontos de fricção, de encontros e de desencontros, entre o que está proposto na CNV e o que está proposto na BNCC, colocando luz nos benefícios que essas duas metodologias podem proporcionar aos processos de aprendizagem, fazendo uma reflexão sobre o socioemocional e como desenvolver relações empáticas no âmbito escolar. Segundo a metodologia comunicacional da CNV (Rosenberg, 2006), as atitudes do ser humano se baseiam em atender as suas necessidades e as necessidades do próximo. Dessa forma, a principal proposta está em fazer com que alunos e professores identifiquem essas necessidades, como o objetivo de obter harmonia e compaixão de forma mútua e interpessoal. As implementações dentro do ambiente escolar podem ser baseadas na Base Nacional Comum Curricular (BNCC), documento que traz em seu conteúdo a normatização de processos de aprendizagem essenciais para o bom desenvolvimento do estudante, de acordo com o que o Plano Nacional de Educação (PNE) prevê que sejam asseguradas. Esta pesquisa foi desenvolvida através de revisão bibliografica com inspiração sistemática da literatu.ra sobre Comunicação Não-Violenta de Marschall Rosenberg e processos circulares da Base Nacional Comum Curricular, com buscas de livros, artigos científicos, periódicos e demais ferramentas disponíveis na internet, com o objetivo de identificar e salientar os benefícios dessas duas metodologias nos processos de aprendizagem. As buscas aconteceram nas plataformas SciELO e Google Acadêmico, com as palavras-chave “ambiente escolar”, “base nacional comum curricular”, “comunicação não-violenta”.","['Schmitt, Rosane Maria']",2023,,http://hdl.handle.net/10183/261926
article,"Ciência e Arte na Pandemia de COVID-19: Encontros Virtuais do Programa CAIS - CienciArte, Inovação e Saúde: Science and Art During COVID-19 Pandemic: Virtual Meetings of CAIS Program – ArtScience, Innovation and Health",,"Global changes took place as a result of the Covid-19 pandemic, recognized in March 2020 by the World Health Organization (WHO). Society and educational institutions had to adapt to the “new normal” and began to immerse in the remote work. Consequently, following the protocol of social distancing, many projects, researches and study groups needed to join the virtual meetings, investing in Information and Communication Technologies. The aim of this study is to describe the remote experiences carried out throughout 2020 by the CAIS Program – ArtScience, Innovation and Health. Throughout 2020, 23 virtual meetings were held, from May to December. The themes addressed in the meetings were diversified, such as: ArtScience in the pandemic, evaluation of creativity, network education, bodily health, Chagas express, non-violent communication and poetry meetings. The remote meetings showed us that the new social configuration made possible a greater strengthening of ties in the research group and a network of support and affection with science and art. Palavras-chave: CienciArte. COVID-19. Grupo de pesquisa","['Ferreira, Roberto Rodrigues', 'Rocha, Rita de Cássia Machado da', 'Moraes, Vinícius dos Santos', 'Araújo-Jorge, Tania Cremonini']",2022-03-15,Fundação Cecierj,https://eademfoco.cecierj.edu.br/index.php/Revista/article/view/1582
article,Transformative Consumer Research: How has the fat body been approached from this perspective in Brazilian research?,"Comportamento do Consumidor, Transformative Consumer Research; TCR; Fat body; Brazil.","Objective: Completing 15 years of Transformative Consumer Research in 2020, this article aims to present an overview of the Brazilian scientific production about how the fat body was approached from this research perspective in this period between 2005 and 2019.Method: To analyze the national scientific production of the fat body in TCR studies from 2005 to 2019, an integrative literature review was carried out according the review steps indicated by Cooper (1984). Thus, a search for the terms ""Transformative Research"", ""Transformative Consumer Research"" and ""TCR"" was carried out in the annals of the main administration events; national journals registered in the SPELL database with Qualis/CAPES 2013-2016 ratings in the strata from B5 to A2 in the area of Administration; and the Brazilian Digital Library of Theses and Dissertations (BDTD).Findings: The results point to a significant growth of publications in TCR in the years 2018 and 2019 but indicate the need to study other groups of vulnerable consumers, in addition to those with some disability, such as consumers of the fat body archetype.Originality: The present study has merit since the results are important to broaden the discussion about the fat body within the theme of consumption, allowing to give visibility to this debate and bringing the theme to the knowledge of managers and market professionals who can contribute to expanding access to consumption by this public; in addition to, specifically, contributing to the propagation of studies from the perspective of transformative research and social marketing, encouraging new researchers and new studies within the aforementioned scopes.","['Sousa Júnior, João Henriques de', 'Rocha, Rudimar Antunes da']",2022-06-28,Universidade Federal de Pernambuco,https://periodicos.ufpe.br/revistas/cbr/article/view/253245
masterThesis,Aplicabilidade da justiça restaurativa nos atos infracionais: estudo de caso sobre o projeto-piloto implementado na Vara da Infância e da Juventude do Fórum Desembargador Eduardo Luz,"Direito, Justiça restaurativa, Infância, Juventude, Poder judiciário, Organização judiciária penal","Dissertação (mestrado profissional) - Universidade Federal de Santa Catarina, Centro de Ciências Jurídicas, Programa de Pós-Graduação em Direito, Florianópolis, 2022.","['Krause, Thalia']",2022,,https://repositorio.ufsc.br/handle/123456789/240882
bachelorThesis,"Criminalidade, infância e sociedade","Criminalidade, Infância, Sociedade, Comunicação não-violenta, Sistema carcerário brasileiro","O objetivo deste trabalho é trazer à tona a reflexão acerca da Criminalidade, Infância e Sociedade em um contexto voltado para o índice de apenados no Brasil, a superlotação do sistema carcerário, a relação entre educação e criminalidade bem como dados sobre a criminalidade juvenil no cenário brasileiro atual. Para isso, questiona-se, como ponto de partida, em que medida o baixo nível de escolaridade é responsável pelo agravamento da violência no Brasil, e por consequência, a superlotação do sistema prisional. A hipótese é que se as maiorias dos egressos possuem um baixo nível de escolaridade, então um maior investimento na educação seria uma das soluções para redução no índice de criminalidade e se uma criança ou adolescente convive com pessoas agressivas e violentas à sua volta durante a sua formação, então há grandes chances dessa criança vir a se tornar um adulto infrator, violento e agressivo. E, se pais e filhos não possuem boa convivência em seus lares, o desgaste psicológico entre essa má-convivência ou não convivência pode também se tornar um determinante nas características de um potencial criminoso no futuro. Para buscar respostas concretas, a fundamentação foi feita em dados estatísticos de sites internacionais, convenções e tratados internacionais, leis, artigos acadêmicos e doutrinas.","['Bonfim, Amanda Nogueira']",2022,,https://repositorio.uniceub.br/jspui/handle/prefix/16528
masterThesis,Violência Doméstica e Justiça Restaurativa: percepções das servidoras das Varas especializadas de Salvador no ano de 2022,"CNPQ::OUTROS, Violência doméstica e familiar, Violência contra as mulheres, Justiça restaurativa, Direito penal, Sistema de justiça, Violência familiar, Domestic and family violence, Violence against women, Restorative justice, Criminal law, Legal system","A presente dissertação investiga a relação entre violência doméstica, Poder Judiciário e justiça restaurativa. O estudo emprega a abordagem qualitativa, com o uso também de estatística descritiva, e se justifica em razão da ausência de projetos de cunho essencialmente restaurativo no âmbito das Varas de Violência Doméstica da Comarca de Salvador/BA, a despeito do enérgico e crescente estímulo dado pelo Conselho Nacional de Justiça. Inicialmente, realizouse breve revisão bibliográfica, quando foram expostas as diretrizes que norteiam as políticas de prevenção e repressão à violência doméstica e familiar contra as mulheres, como também os principais aspectos da justiça restaurativa, as suas conexões e contraposições ao paradigma punitivo, e a discussão a respeito do uso dessa metodologia para o enfrentamento da violência de gênero. Em seguida, procedeu-se a um estudo empírico, cuja metodologia contou tanto com o envio de questionários ao Núcleo de Justiça Restaurativa de 2° Grau do Tribunal de Justiça do Estado da Bahia e às Varas especializadas de Salvador/BA, quanto com a realização de entrevistas individuais semiestruturadas com oito colaboradoras das equipes de atendimento multidisciplinar das serventias. O objetivo foi compreender, pela perspectiva do Interacionismo Simbólico, de que modo as entrevistadas interpretam e intuem a justiça restaurativa no campo da violência doméstica e familiar contra as mulheres. A análise dos dados empíricos permitiu delinear os argumentos centrais trazidos a favor ou contra o uso da justiça restaurativa na gestão dessas violências, bem como as estratégias possíveis para que a metodologia seja desmistificada, apreendida pelos atores do sistema de justiça e pela sociedade em geral, e, sob tais bases, aplicada na sua real essência.","['Salles, Thaís Santos']",2022-11-25,Universidade Federal da Bahia,https://repositorio.ufba.br/handle/ri/38062
